,Rk,Player,Debut,Age,Yrs,Games,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MPpg,PTSpg,TRBpg,ASTpg,Team,Year,Year_index,Team_index,FGpg,3Ppg,FTpg,ORBpg,DRBpg,STLpg,BLKpg,TOVpg,PFpg
0,1,Kyle Alexander,"Aug 6, '20, MIA @ MIL",23,1,2,13,1,2,0,0,0,0,2,3,0,0,0,1,1,2,0.5,0.0,0.0,6.5,1.0,1.5,0.0,MIA,2020,41,15,0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.5
1,2,Nickeil Alexander-Walker,"Oct 22, '19, NOP @ TOR",21,3,158,3064,543,1404,227,690,154,212,59,415,347,110,53,216,248,1467,0.387,0.329,0.726,19.4,9.3,2.6,2.2,NOP,2019,40,18,3.4367088607594938,1.4367088607594938,0.9746835443037974,0.37341772151898733,2.226582278481013,0.6962025316455697,0.33544303797468356,1.3670886075949367,1.5696202531645569
2,3,RJ Barrett,"Oct 23, '19, NYK @ SAS",19,3,198,6632,1246,2981,325,910,652,936,184,1101,568,151,53,414,452,3469,0.418,0.357,0.697,33.5,17.5,5.6,2.9,NYK,2019,40,19,6.292929292929293,1.6414141414141414,3.292929292929293,0.9292929292929293,4.670707070707071,0.7626262626262627,0.2676767676767677,2.090909090909091,2.282828282828283
3,4,Darius Bazley,"Oct 23, '19, OKC @ UTA",19,3,185,4768,672,1656,212,696,285,410,152,1078,237,110,136,257,183,1841,0.406,0.305,0.695,25.8,10.0,5.8,1.3,OKC,2019,40,20,3.6324324324324326,1.145945945945946,1.5405405405405406,0.8216216216216217,4.978378378378379,0.5945945945945946,0.7351351351351352,1.3891891891891892,0.9891891891891892
4,5,Goga Bitadze,"Oct 26, '19, IND @ CLE",20,3,149,1761,284,596,51,201,133,188,164,433,115,40,139,91,266,752,0.477,0.254,0.707,11.8,5.0,2.9,0.8,IND,2019,40,11,1.9060402684563758,0.3422818791946309,0.8926174496644296,1.1006711409395973,1.7993288590604026,0.2684563758389262,0.9328859060402684,0.610738255033557,1.7852348993288591
5,6,Bol Bol,"Aug 1, '20, DEN vs. MIA",20,3,53,328,54,113,14,37,20,30,9,63,18,6,18,27,29,142,0.478,0.378,0.667,6.2,2.7,1.2,0.3,DEN,2020,41,7,1.0188679245283019,0.2641509433962264,0.37735849056603776,0.16981132075471697,1.030188679245283,0.11320754716981132,0.33962264150943394,0.5094339622641509,0.5471698113207547
6,7,Marques Bolden,"Feb 1, '20, CLE vs. GSW",21,2,7,32,1,3,0,0,5,8,3,8,0,3,2,2,1,7,0.333,0.0,0.625,4.6,1.0,1.1,0.0,CLE,2020,41,5,0.14285714285714285,0.0,0.7142857142857143,0.42857142857142855,0.6714285714285715,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.14285714285714285
7,8,Jordan Bone,"Nov 4, '19, DET @ WAS",22,2,24,249,28,74,12,42,0,0,4,28,26,3,0,5,17,68,0.378,0.286,0.0,10.4,2.8,1.2,1.1,DET,2019,40,8,1.1666666666666667,0.5,0.0,0.16666666666666666,1.0333333333333332,0.125,0.0,0.20833333333333334,0.7083333333333334
8,9,Brian Bowen,"Nov 12, '19, IND vs. OKC",21,2,12,46,4,14,0,3,1,1,1,10,0,0,1,1,4,9,0.286,0.0,1.0,3.8,0.8,0.8,0.0,IND,2019,40,11,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.7166666666666667,0.0,0.08333333333333333,0.08333333333333333,0.3333333333333333
9,10,Ky Bowman,"Oct 24, '19, GSW vs. LAC",22,1,45,1015,134,321,33,107,34,41,24,121,131,44,10,70,102,335,0.417,0.308,0.829,22.6,7.4,2.7,2.9,GSW,2019,40,9,2.977777777777778,0.7333333333333333,0.7555555555555555,0.5333333333333333,2.166666666666667,0.9777777777777777,0.2222222222222222,1.5555555555555556,2.2666666666666666
10,11,Jarrell Brantley,"Oct 25, '19, UTA @ LAL",23,2,37,234,35,80,15,41,3,4,11,47,26,10,7,15,24,88,0.438,0.366,0.75,6.3,2.4,1.3,0.7,UTA,2019,40,28,0.9459459459459459,0.40540540540540543,0.08108108108108109,0.2972972972972973,1.0027027027027027,0.2702702702702703,0.1891891891891892,0.40540540540540543,0.6486486486486487
11,12,Ignas Brazdeikis,"Nov 3, '19, NYK vs. SAC",21,3,64,838,122,293,39,124,35,51,36,122,58,14,7,31,73,318,0.416,0.315,0.686,13.1,5.0,1.9,0.9,NYK,2019,40,19,1.90625,0.609375,0.546875,0.5625,1.3375,0.21875,0.109375,0.484375,1.140625
12,13,Oshae Brissett,"Nov 18, '19, TOR vs. CHO",21,3,107,2218,294,693,119,330,172,239,146,499,97,67,50,71,166,879,0.424,0.361,0.72,20.7,8.2,4.7,0.9,TOR,2019,40,27,2.7476635514018692,1.1121495327102804,1.6074766355140186,1.3644859813084111,3.335514018691589,0.6261682242990654,0.4672897196261682,0.6635514018691588,1.5514018691588785
13,14,Charlie Brown Jr.,"Nov 6, '19, ATL vs. CHI",22,3,41,369,29,101,9,42,23,25,19,53,17,16,8,14,40,90,0.287,0.214,0.92,9.0,2.2,1.3,0.4,ATL,2019,40,0,0.7073170731707317,0.21951219512195122,0.5609756097560976,0.4634146341463415,0.8365853658536586,0.3902439024390244,0.1951219512195122,0.34146341463414637,0.975609756097561
14,15,Moses Brown,"Nov 10, '19, POR vs. ATL",20,3,92,1298,214,386,0,0,124,206,196,532,12,39,64,66,153,552,0.554,0.0,0.602,14.1,6.0,5.8,0.1,POR,2019,40,24,2.3260869565217392,0.0,1.3478260869565217,2.130434782608696,3.669565217391304,0.42391304347826086,0.6956521739130435,0.717391304347826,1.6630434782608696
15,16,Devontae Cacok,"Aug 13, '20, LAL vs. SAC",23,3,36,228,41,66,0,0,9,18,22,79,8,13,11,8,24,91,0.621,0.0,0.5,6.3,2.5,2.2,0.2,LAL,2020,41,13,1.1388888888888888,0.0,0.25,0.6111111111111112,1.588888888888889,0.3611111111111111,0.3055555555555556,0.2222222222222222,0.6666666666666666
16,17,Vlatko Čančar,"Oct 31, '19, DEN @ NOP",22,3,70,502,62,128,17,51,23,31,24,91,34,14,6,26,43,164,0.484,0.333,0.742,7.2,2.3,1.3,0.5,DEN,2019,40,7,0.8857142857142857,0.24285714285714285,0.32857142857142857,0.34285714285714286,0.9571428571428572,0.2,0.08571428571428572,0.37142857142857144,0.6142857142857143
17,18,Zylan Cheatham,"Nov 16, '19, NOP @ MIA",24,2,5,56,6,12,0,3,0,0,3,9,3,1,1,4,10,12,0.5,0.0,0.0,11.2,2.4,1.8,0.6,NOP,2019,40,18,1.2,0.0,0.0,0.6,1.2000000000000002,0.2,0.2,0.8,2.0
18,19,Brandon Clarke,"Oct 23, '19, MEM @ MIA",23,3,181,3961,840,1421,48,163,248,355,324,1015,262,131,167,122,306,1976,0.591,0.294,0.699,21.9,10.9,5.6,1.4,MEM,2019,40,14,4.640883977900552,0.26519337016574585,1.3701657458563536,1.7900552486187846,3.809944751381215,0.7237569060773481,0.9226519337016574,0.6740331491712708,1.6906077348066297
19,20,Nic Claxton,"Nov 8, '19, BRK @ POR",20,3,94,1755,295,457,2,12,96,178,153,474,87,48,99,65,192,688,0.646,0.167,0.539,18.7,7.3,5.0,0.9,BRK,2019,40,2,3.1382978723404253,0.02127659574468085,1.0212765957446808,1.627659574468085,3.372340425531915,0.5106382978723404,1.053191489361702,0.6914893617021277,2.0425531914893615
20,21,Chris Clemons,"Nov 3, '19, HOU @ MIA",22,1,33,291,57,142,37,107,10,11,4,30,27,9,6,19,26,161,0.401,0.346,0.909,8.8,4.9,0.9,0.8,HOU,2019,40,10,1.7272727272727273,1.121212121212121,0.30303030303030304,0.12121212121212122,0.7787878787878788,0.2727272727272727,0.18181818181818182,0.5757575757575758,0.7878787878787878
21,22,Amir Coffey,"Dec 31, '19, LAC @ SAC",22,3,131,2120,279,623,125,329,134,166,40,257,160,53,17,68,137,817,0.448,0.38,0.807,16.2,6.2,2.0,1.2,LAC,2019,40,12,2.1297709923664123,0.9541984732824428,1.0229007633587786,0.3053435114503817,1.6946564885496183,0.40458015267175573,0.1297709923664122,0.5190839694656488,1.0458015267175573
22,23,Tyler Cook,"Oct 26, '19, CLE vs. IND",22,3,65,692,100,153,1,2,45,75,50,162,21,15,6,31,68,246,0.654,0.5,0.6,10.6,3.8,2.5,0.3,CLE,2019,40,5,1.5384615384615385,0.015384615384615385,0.6923076923076923,0.7692307692307693,1.7307692307692308,0.23076923076923078,0.09230769230769231,0.47692307692307695,1.0461538461538462
23,24,Jarrett Culver,"Oct 23, '19, MIN @ BRK",20,3,134,2343,350,872,91,321,99,199,117,364,167,94,52,129,225,890,0.401,0.283,0.497,17.5,6.6,2.7,1.2,MIN,2019,40,17,2.611940298507463,0.6791044776119403,0.7388059701492538,0.8731343283582089,1.8268656716417913,0.7014925373134329,0.3880597014925373,0.9626865671641791,1.6791044776119404
24,25,Terence Davis,"Oct 22, '19, TOR vs. NOP",22,3,163,2819,507,1159,241,658,132,158,81,485,238,108,39,172,291,1387,0.437,0.366,0.835,17.3,8.5,3.0,1.5,TOR,2019,40,27,3.1104294478527605,1.478527607361963,0.8098159509202454,0.49693251533742333,2.5030674846625764,0.6625766871165644,0.2392638036809816,1.0552147239263803,1.7852760736196318
25,26,Luguentz Dort,"Dec 6, '19, OKC vs. MIN",20,3,139,4028,626,1583,273,821,325,408,100,482,203,122,41,189,380,1850,0.395,0.333,0.797,29.0,13.3,3.5,1.5,OKC,2019,40,20,4.503597122302159,1.9640287769784173,2.338129496402878,0.7194244604316546,2.7805755395683454,0.8776978417266187,0.2949640287769784,1.3597122302158273,2.7338129496402876
26,27,Sekou Doumbouya,"Nov 23, '19, DET @ MIL",19,3,96,1639,204,526,55,215,79,114,61,267,66,47,19,81,175,542,0.388,0.256,0.693,17.1,5.6,2.8,0.7,DET,2019,40,8,2.125,0.5729166666666666,0.8229166666666666,0.6354166666666666,2.1645833333333333,0.4895833333333333,0.19791666666666666,0.84375,1.8229166666666667
27,28,Carsen Edwards,"Oct 23, '19, BOS @ PHI",21,3,72,706,98,269,46,155,25,33,11,79,52,21,5,27,63,267,0.364,0.297,0.758,9.8,3.7,1.1,0.7,BOS,2019,40,1,1.3611111111111112,0.6388888888888888,0.3472222222222222,0.1527777777777778,0.9472222222222223,0.2916666666666667,0.06944444444444445,0.375,0.875
28,29,Tacko Fall,"Oct 26, '19, BOS @ NYK",24,3,37,228,37,55,0,0,8,25,24,90,6,2,30,12,32,82,0.673,0.0,0.32,6.2,2.2,2.4,0.2,BOS,2019,40,1,1.0,0.0,0.21621621621621623,0.6486486486486487,1.7513513513513512,0.05405405405405406,0.8108108108108109,0.32432432432432434,0.8648648648648649
29,30,Bruno Fernando,"Oct 24, '19, ATL @ DET",21,3,119,1091,157,298,6,41,59,97,101,331,66,23,31,77,154,379,0.527,0.146,0.608,9.2,3.2,2.8,0.6,ATL,2019,40,0,1.319327731092437,0.05042016806722689,0.4957983193277311,0.8487394957983193,1.9512605042016804,0.19327731092436976,0.2605042016806723,0.6470588235294118,1.2941176470588236
30,31,Michael Frazier,"Jan 9, '20, HOU @ OKC",25,1,13,145,7,29,4,23,9,14,1,10,2,2,0,5,22,27,0.241,0.174,0.643,11.2,2.1,0.8,0.2,HOU,2020,41,10,0.5384615384615384,0.3076923076923077,0.6923076923076923,0.07692307692307693,0.7230769230769232,0.15384615384615385,0.0,0.38461538461538464,1.6923076923076923
31,32,Wenyen Gabriel,"Oct 23, '19, SAC @ PHO",22,3,77,834,99,218,27,80,51,81,80,203,33,25,26,47,139,276,0.454,0.338,0.63,10.8,3.6,2.6,0.4,SAC,2019,40,25,1.2857142857142858,0.35064935064935066,0.6623376623376623,1.0389610389610389,1.5610389610389612,0.3246753246753247,0.33766233766233766,0.6103896103896104,1.8051948051948052
32,33,Daniel Gafford,"Oct 26, '19, CHI vs. TOR",21,3,169,2844,533,770,0,1,211,321,301,744,118,69,230,135,366,1277,0.692,0.0,0.657,16.8,7.6,4.4,0.7,CHI,2019,40,4,3.1538461538461537,0.0,1.2485207100591715,1.7810650887573964,2.618934911242604,0.40828402366863903,1.3609467455621302,0.7988165680473372,2.165680473372781
33,34,Darius Garland,"Oct 23, '19, CLE @ ORL",20,3,181,6044,1184,2674,384,1016,390,445,89,464,1141,197,17,563,317,3142,0.443,0.378,0.876,33.4,17.4,2.6,6.3,CLE,2019,40,5,6.541436464088398,2.1215469613259668,2.154696132596685,0.49171270718232046,2.1082872928176797,1.0883977900552486,0.09392265193370165,3.110497237569061,1.7513812154696133
34,35,Javonte Green,"Oct 25, '19, BOS vs. TOR",26,3,154,2460,292,553,55,164,138,178,141,440,103,119,46,72,220,777,0.528,0.335,0.775,16.0,5.0,2.9,0.7,BOS,2019,40,1,1.896103896103896,0.35714285714285715,0.8961038961038961,0.9155844155844156,1.9844155844155842,0.7727272727272727,0.2987012987012987,0.4675324675324675,1.4285714285714286
35,36,Marko Guduric,"Oct 23, '19, MEM @ MIA",24,1,44,484,62,157,25,83,24,26,14,73,45,12,8,36,34,173,0.395,0.301,0.923,11.0,3.9,1.7,1.0,MEM,2019,40,14,1.4090909090909092,0.5681818181818182,0.5454545454545454,0.3181818181818182,1.3818181818181818,0.2727272727272727,0.18181818181818182,0.8181818181818182,0.7727272727272727
36,37,Kyle Guy,"Jan 10, '20, SAC vs. MIL",22,3,53,431,57,158,27,89,24,32,9,53,50,13,1,24,33,165,0.361,0.303,0.75,8.1,3.1,1.0,0.9,SAC,2020,41,25,1.0754716981132075,0.5094339622641509,0.4528301886792453,0.16981132075471697,0.8301886792452831,0.24528301886792453,0.018867924528301886,0.4528301886792453,0.6226415094339622
37,38,Rui Hachimura,"Oct 23, '19, WAS @ DAL",21,3,147,4184,751,1574,125,347,286,367,152,766,217,104,24,154,278,1913,0.477,0.36,0.779,28.5,13.0,5.2,1.5,WSH,2019,40,29,5.108843537414966,0.8503401360544217,1.945578231292517,1.034013605442177,4.165986394557823,0.7074829931972789,0.16326530612244897,1.0476190476190477,1.8911564625850341
38,39,Devon Hall,"Nov 12, '19, OKC @ IND",24,1,11,81,6,30,4,17,4,8,2,7,13,4,1,5,6,20,0.2,0.235,0.5,7.4,1.8,0.6,1.2,OKC,2019,40,20,0.5454545454545454,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.41818181818181815,0.36363636363636365,0.09090909090909091,0.45454545454545453,0.5454545454545454
39,40,Donta Hall,"Feb 25, '20, DET @ DEN",22,2,22,312,40,57,0,0,32,52,38,100,15,8,16,13,41,112,0.702,0.0,0.615,14.2,5.1,4.5,0.7,DET,2020,41,8,1.8181818181818181,0.0,1.4545454545454546,1.7272727272727273,2.7727272727272725,0.36363636363636365,0.7272727272727273,0.5909090909090909,1.8636363636363635
40,41,Jared Harper,"Oct 23, '19, PHO vs. SAC",22,3,16,67,15,34,5,15,7,8,2,4,15,4,1,5,6,42,0.441,0.333,0.875,4.2,2.6,0.3,0.9,PHO,2019,40,23,0.9375,0.3125,0.4375,0.125,0.175,0.25,0.0625,0.3125,0.375
41,42,Jaxson Hayes,"Oct 28, '19, NOP vs. GSW",19,3,194,3442,594,937,27,75,360,498,304,831,134,84,148,146,417,1575,0.634,0.36,0.723,17.7,8.1,4.3,0.7,NOP,2019,40,18,3.0618556701030926,0.13917525773195877,1.8556701030927836,1.5670103092783505,2.7329896907216495,0.4329896907216495,0.7628865979381443,0.7525773195876289,2.149484536082474
42,43,Dewan Hernandez,"Nov 18, '19, TOR vs. CHO",23,1,6,28,5,14,1,2,3,5,5,14,3,1,0,3,6,14,0.357,0.5,0.6,4.7,2.3,2.3,0.5,TOR,2019,40,27,0.8333333333333334,0.16666666666666666,0.5,0.8333333333333334,1.4666666666666663,0.16666666666666666,0.0,0.5,1.0
43,44,Tyler Herro,"Oct 23, '19, MIA vs. MEM",20,3,175,5294,1078,2452,398,1034,371,436,73,821,568,113,34,362,242,2925,0.44,0.385,0.851,30.3,16.7,4.7,3.2,MIA,2019,40,15,6.16,2.2742857142857145,2.12,0.41714285714285715,4.282857142857143,0.6457142857142857,0.19428571428571428,2.0685714285714285,1.3828571428571428
44,45,Kevin Hervey,"Dec 26, '19, OKC vs. MEM",23,1,10,52,7,27,3,20,0,0,1,12,5,1,1,0,4,17,0.259,0.15,0.0,5.2,1.7,1.2,0.5,OKC,2019,40,20,0.7,0.3,0.0,0.1,1.0999999999999999,0.1,0.1,0.0,0.4
45,46,Jaylen Hoard,"Nov 10, '19, POR vs. ATL",20,3,39,663,103,210,9,39,42,68,65,181,45,24,10,29,45,257,0.49,0.231,0.618,17.0,6.6,4.6,1.2,POR,2019,40,24,2.641025641025641,0.23076923076923078,1.0769230769230769,1.6666666666666667,2.9333333333333327,0.6153846153846154,0.2564102564102564,0.7435897435897436,1.1538461538461537
46,47,Talen Horton-Tucker,"Dec 8, '19, LAL vs. MIN",19,3,131,2896,462,1057,90,326,202,258,64,369,346,130,51,193,285,1216,0.437,0.276,0.783,22.1,9.3,2.8,2.6,LAL,2019,40,13,3.5267175572519083,0.6870229007633588,1.5419847328244274,0.48854961832061067,2.311450381679389,0.9923664122137404,0.3893129770992366,1.4732824427480915,2.1755725190839694
47,48,William Howard,"Feb 7, '20, HOU @ PHO",26,1,2,13,0,4,0,4,0,0,0,2,1,0,0,1,1,0,0.0,0.0,0.0,6.5,0.0,1.0,0.5,HOU,2020,41,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5
48,49,De'Andre Hunter,"Oct 24, '19, ATL @ DET",22,3,139,4273,654,1506,213,594,310,395,87,572,224,99,51,201,396,1831,0.434,0.359,0.785,30.7,13.2,4.1,1.6,ATL,2019,40,0,4.705035971223022,1.5323741007194245,2.2302158273381294,0.6258992805755396,3.47410071942446,0.7122302158273381,0.3669064748201439,1.4460431654676258,2.8489208633093526
49,50,Justin James,"Oct 25, '19, SAC vs. POR",23,2,72,542,87,195,23,67,31,57,15,62,40,14,12,23,40,228,0.446,0.343,0.544,7.5,3.2,0.9,0.6,SAC,2019,40,25,1.2083333333333333,0.3194444444444444,0.4305555555555556,0.20833333333333334,0.6916666666666667,0.19444444444444445,0.16666666666666666,0.3194444444444444,0.5555555555555556
50,51,DaQuan Jeffries,"Nov 15, '19, SAC @ LAL",22,3,47,643,71,162,25,86,12,14,22,91,30,19,11,16,68,179,0.438,0.291,0.857,13.7,3.8,1.9,0.6,SAC,2019,40,25,1.5106382978723405,0.5319148936170213,0.2553191489361702,0.46808510638297873,1.4319148936170212,0.40425531914893614,0.23404255319148937,0.3404255319148936,1.446808510638298
51,52,Ty Jerome,"Dec 2, '19, PHO @ CHO",22,3,112,1917,290,728,139,404,76,97,36,215,273,65,14,102,163,795,0.398,0.344,0.784,17.1,7.1,1.9,2.4,PHO,2019,40,23,2.5892857142857144,1.2410714285714286,0.6785714285714286,0.32142857142857145,1.5785714285714285,0.5803571428571429,0.125,0.9107142857142857,1.4553571428571428
52,53,Cameron Johnson,"Oct 26, '19, PHO vs. LAC",23,3,183,4422,658,1495,389,998,194,230,124,659,254,130,52,119,286,1899,0.44,0.39,0.843,24.2,10.4,3.6,1.4,PHO,2019,40,23,3.5956284153005464,2.1256830601092895,1.0601092896174864,0.6775956284153005,2.9224043715846997,0.7103825136612022,0.28415300546448086,0.6502732240437158,1.5628415300546448
53,54,Keldon Johnson,"Nov 22, '19, SAS @ PHI",20,3,161,4661,862,1805,232,602,357,474,183,926,294,112,40,183,318,2313,0.478,0.385,0.753,29.0,14.4,5.8,1.8,SAS,2019,40,26,5.354037267080745,1.4409937888198758,2.217391304347826,1.1366459627329193,4.66335403726708,0.6956521739130435,0.2484472049689441,1.1366459627329193,1.9751552795031055
54,55,Mfiondu Kabengele,"Oct 24, '19, LAC @ GSW",22,2,51,344,47,121,22,70,21,25,13,71,19,10,15,17,45,137,0.388,0.314,0.84,6.7,2.7,1.4,0.4,LAC,2019,40,12,0.9215686274509803,0.43137254901960786,0.4117647058823529,0.2549019607843137,1.1450980392156862,0.19607843137254902,0.29411764705882354,0.3333333333333333,0.8823529411764706
55,56,Stanton Kidd,"Oct 25, '19, UTA @ LAL",27,1,4,15,0,3,0,1,0,0,0,3,1,0,0,2,3,0,0.0,0.0,0.0,3.8,0.0,0.8,0.3,UTA,2019,40,28,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.5,0.75
56,57,Louis King,"Dec 26, '19, DET vs. WAS",20,3,26,251,40,102,16,49,13,19,6,40,23,11,4,6,33,109,0.392,0.327,0.684,9.7,4.2,1.5,0.9,DET,2019,40,8,1.5384615384615385,0.6153846153846154,0.5,0.23076923076923078,1.2692307692307692,0.4230769230769231,0.15384615384615385,0.23076923076923078,1.2692307692307692
57,58,John Konchar,"Nov 9, '19, MEM vs. DAL",23,3,134,2048,228,437,78,192,53,81,140,504,178,82,34,54,137,587,0.522,0.406,0.654,15.3,4.4,3.8,1.3,MEM,2019,40,14,1.7014925373134329,0.582089552238806,0.39552238805970147,1.044776119402985,2.755223880597015,0.6119402985074627,0.2537313432835821,0.40298507462686567,1.0223880597014925
58,59,Romeo Langford,"Oct 30, '19, BOS vs. MIL",20,3,98,1424,132,330,39,130,50,79,57,184,47,36,29,37,104,353,0.4,0.3,0.633,14.5,3.6,1.9,0.5,BOS,2019,40,1,1.346938775510204,0.3979591836734694,0.5102040816326531,0.5816326530612245,1.3183673469387753,0.3673469387755102,0.29591836734693877,0.37755102040816324,1.0612244897959184
59,60,Vic Law,"Jan 26, '20, ORL vs. LAC",24,1,8,62,6,18,1,7,2,6,2,11,3,2,0,2,6,15,0.333,0.143,0.333,7.8,1.9,1.4,0.4,ORL,2020,41,21,0.75,0.125,0.25,0.25,1.15,0.25,0.0,0.25,0.75
60,61,Jalen Lecque,"Jan 16, '20, PHO @ NYK",19,2,9,44,5,19,0,5,5,5,2,7,4,0,0,2,3,15,0.263,0.0,1.0,4.9,1.7,0.8,0.4,PHO,2020,41,23,0.5555555555555556,0.0,0.5555555555555556,0.2222222222222222,0.5777777777777778,0.0,0.0,0.2222222222222222,0.3333333333333333
61,62,Nassir Little,"Oct 25, '19, POR @ SAC",19,3,138,2301,288,633,93,293,133,183,121,472,99,43,63,73,205,802,0.455,0.317,0.727,16.7,5.8,3.4,0.7,POR,2019,40,24,2.0869565217391304,0.6739130434782609,0.9637681159420289,0.8768115942028986,2.5231884057971015,0.3115942028985507,0.45652173913043476,0.5289855072463768,1.4855072463768115
